,id
0,detroit hip hop
1,g funk
2,gangster rap
3,hardcore hip hop
4,hip hop
5,pop rap
6,rap
7,west coast rap
8,hip pop
9,turntablism
10,east coast hip hop
11,queens hip hop
12,conscious hip hop
13,old school hip hop
14,southern hip hop
15,trap
16,electro
17,rap rock
18,alternative hip hop
19,cali rap
20,atl hip hop
21,dance pop
22,dirty south rap
23,contemporary jazz
24,cool jazz
25,ecm-style jazz
26,jazz
27,jazz fusion
28,jazz trio
29,background jazz
30,bebop
31,contemporary post-bop
32,hard bop
33,soul jazz
34,stride
35,vocal jazz
36,dinner jazz
37,danish modern jazz
38,harlem renaissance
39,traditional blues
40,blues
41,circuit
42,tango
43,vintage tango
44,electro trash
45,bouzouki
46,rebetiko
47,adult standards
48,big band
49,easy listening
50,lounge
51,swing
52,vintage chanson
53,cabaret
54,vintage hollywood
55,ghoststep
56,greek clarinet
57,french hip hop
58,torch song
59,classical
60,post-romantic era
61,russian romanticism
62,ukrainian classical
63,classical performance
64,opera
65,orchestral performance
66,german orchestra
67,orchestra
68,ilahiler
69,sufi chant
70,american classical piano
71,early modern classical
72,french romanticism
73,historic orchestral performance
74,irish ballad
75,irish folk
76,vintage classical singing
77,javanese gamelan
78,italian romanticism
79,classical era
80,russian orchestra
81,early romantic era
82,german romanticism
83,classical piano
84,russian classical piano
85,italian opera
86,british classical piano
87,british orchestra
88,turkish classical
89,turkish jazz
90,classical cello
91,hungarian classical performance
92,french opera
93,impressionism
94,neoclassicism
95,israeli classical piano
96,late romantic era
97,jazz blues
98,dixieland
99,jazz trumpet
100,new orleans jazz
101,soul
102,boogie-woogie
103,jazz piano
104,vintage jazz
105,appalachian folk
106,bluegrass
107,folk
108,old-time
109,traditional country
110,traditional folk
111,yodeling
112,pre-war blues
113,vintage swing
114,tin pan alley
115,jazz saxophone
116,baroque
117,early music
118,german baroque
119,african-american classical
120,gospel
121,spirituals
122,jazz trombone
123,louisiana blues
124,new orleans blues
125,ragtime
126,brill building pop
127,vocal harmony group
128,jazz clarinet
129,vaudeville
130,portland hip hop
131,movie tunes
132,vintage country folk
133,american modern classical
134,brass ensemble
135,italian tenor
136,jazz guitar
137,american folk revival
138,banjo
139,musica tradicional cubana
140,son cubano
141,son cubano clasico
142,german opera
143,acoustic blues
144,country blues
145,memphis blues
146,hardcore punk
147,children's choir
148,german choir
149,classical organ
150,vintage schlager
151,gospel blues
152,texas blues
153,barrelhouse piano
154,piano blues
155,polish classical
156,polish classical piano
157,country gospel
158,vintage old-time
159,jazz quartet
160,jug band
161,space age pop
162,broadway
163,show tunes
164,delta blues
165,piedmont blues
166,orquesta tipica
167,psychedelic rock
168,british modern classical
169,light music
170,russian modern classical
171,string band
172,western swing
173,british dance band
174,classical tenor
175,historic classical performance
176,operetta
177,tango cancion
178,deep adult standards
179,calypso
180,latin classical
181,nueva cancion
182,chicago blues
183,electric blues
184,bahamian folk
185,velha guarda
186,norsk lovsang
187,pagode
188,samba
189,choro
190,chill guitar
191,classical guitar
192,guitarra clasica
193,spanish classical
194,laiko
195,copla
