,genre_id,genre_group
0,detroit hip hop,rap/hiphop
1,g funk,funk
2,gangster rap,rap/hiphop
3,hardcore hip hop,rap/hiphop
4,hip hop,rap/hiphop
5,pop rap,delete
6,rap,rap/hiphop
7,west coast rap,rap/hiphop
8,hip pop,rap/hiphop
9,turntablism,rap/hiphop
10,east coast hip hop,rap/hiphop
11,queens hip hop,rap/hiphop
12,conscious hip hop,rap/hiphop
13,old school hip hop,rap/hiphop
14,southern hip hop,rap/hiphop
15,trap,trap
16,electro,electro
17,rap rock,rock
18,alternative hip hop,rap/hiphop
19,cali rap,rap/hiphop
20,atl hip hop,rap/hiphop
21,dance pop,dance
22,dirty south rap,rap/hiphop
23,contemporary jazz,jazz
24,cool jazz,jazz
25,ecm-style jazz,jazz
26,jazz,jazz
27,jazz fusion,jazz
28,jazz trio,delete
29,background jazz,jazz
30,bebop,delete
31,contemporary post-bop,delete
32,hard bop,delete
33,soul jazz,jazz
34,stride,jazz
35,vocal jazz,jazz
36,dinner jazz,jazz
37,danish modern jazz,delete
38,harlem renaissance,delete
39,traditional blues,blues
40,blues,blues
41,circuit,delete
42,tango,ballroom
43,vintage tango,ballroom
44,electro trash,electro
45,bouzouki,delete
46,rebetiko,delete
47,adult standards,delete
48,big band,delete
49,easy listening,delete
50,lounge,delete
51,swing,ballroom
52,vintage chanson,delete
53,cabaret,delete
54,vintage hollywood,delete
55,ghoststep,delete
56,greek clarinet,delete
57,french hip hop,delete
58,torch song,delete
59,classical,classical
60,post-romantic era,classical
61,russian romanticism,delete
62,ukrainian classical,delete
63,classical performance,classical
64,opera,delete
65,orchestral performance,classical
66,german orchestra,delete
67,orchestra,classical
68,ilahiler,delete
69,sufi chant,delete
70,american classical piano,delete
71,early modern classical,classical
72,french romanticism,delete
73,historic orchestral performance,classical
74,irish ballad,delete
75,irish folk,folk
76,vintage classical singing,delete
77,javanese gamelan,delete
78,italian romanticism,delete
79,classical era,classical
80,russian orchestra,delete
81,early romantic era,classical
82,german romanticism,delete
83,classical piano,delete
84,russian classical piano,delete
85,italian opera,delete
86,british classical piano,delete
87,british orchestra,delete
88,turkish classical,delete
89,turkish jazz,delete
90,classical cello,delete
