,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0,0.814,0.659,2,-4.475,1,0.0829,0.00155,0.0251,0.568,0.13,88.506,4,2
1,0.664,0.66,0,-5.284,1,0.291,0.181,2.23e-06,0.19,0.47,90.106,4,2
2,0.842,0.4,11,-11.308,0,0.486,0.0457,0.0,0.172,0.205,130.018,4,2
3,0.632,0.8,5,-7.227,0,0.234,0.547,0.0,0.147,0.496,92.757,4,2
4,0.846,0.511,1,-8.116,1,0.263,0.0375,5.14e-06,0.147,0.346,136.964,4,2
5,0.924,0.5,5,-8.906,0,0.513,0.065,0.0,0.111,0.731,145.062,4,2
6,0.812,0.617,9,-6.345,1,0.264,0.154,0.0,0.076,0.761,83.987,4,2
7,0.639,0.834,2,-7.332,1,0.225,0.0284,0.0,0.333,0.338,92.484,4,2
8,0.871,0.541,10,-8.64,0,0.512,0.169,0.0,0.0993,0.825,158.053,4,2
9,0.748,0.746,7,-6.864,1,0.444,0.0182,0.0,0.714,0.774,202.157,4,2
10,0.461,0.467,0,-7.628,1,0.0586,0.00766,0.0,0.11,0.167,74.686,4,2
11,0.792,0.61,9,-8.893,0,0.0798,0.642,4.85e-05,0.0936,0.562,116.796,4,2
12,0.655,0.469,0,-6.257,1,0.0292,0.173,0.0,0.0956,0.467,92.56,4,2
13,0.702,0.412,9,-11.929,0,0.257,0.209,0.0,0.132,0.671,85.201,4,2
14,0.848,0.838,4,-11.949,0,0.0723,0.0326,4.63e-06,0.124,0.774,97.735,4,2
15,0.613,0.686,1,-5.75,1,0.107,0.0952,0.0,0.187,0.5,80.014,4,2
16,0.786,0.46,1,-8.028,1,0.241,0.438,2.35e-05,0.114,0.413,139.981,4,2
17,0.859,0.635,10,-9.532,0,0.193,0.0356,0.00346,0.13,0.53,96.571,4,2
18,0.763,0.869,10,-5.862,0,0.057,0.154,0.514,0.105,0.796,125.573,4,2
19,0.541,0.596,9,-6.487,1,0.39,0.568,0.0,0.172,0.6,80.469,4,2
20,0.871,0.454,9,-9.532,0,0.11,0.144,0.0,0.0916,0.393,97.012,4,2
21,0.526,0.491,5,-9.147,0,0.196,0.558,0.0,0.186,0.336,128.093,4,2
22,0.951,0.348,5,-13.05,0,0.574,0.572,2.01e-06,0.106,0.683,122.074,4,2
23,0.443,0.851,1,-6.56,1,0.282,0.0202,0.0,0.461,0.481,81.804,4,2
24,0.792,0.707,7,-5.218,0,0.0623,0.116,0.0,0.12,0.408,134.997,4,2
